id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness
470686,98,10,10
3194136,,,
12906085,69,7,6
8597092,84,9,8
1060442,96,10,9
6913294,95,9,10
9776134,97,10,10
12266463,95,10,10
17574877,,,
1928125,97,10,10
9726878,,,
2304925,95,10,9
212297,92,10,9
11069241,100,10,9
748256,97,10,10
8088394,,,
2557977,99,10,10
3985721,92,10,9
13249335,80,10,9
17791068,,,
16673580,97,10,10
4500244,93,10,10
715543,100,10,9
4926230,,,
12905241,,,
16117102,,,
4295657,100,10,10
224579,98,10,10
3042598,87,9,8
9465129,100,10,10
7351575,98,10,10
6600081,99,10,10
7679171,96,10,10
4730033,94,10,9
13282475,98,10,10
9350318,87,9,7
10496718,,,
9759420,93,9,10
14756524,,,
6466197,95,10,10
4614763,98,10,10
15346313,98,10,10
8670481,98,10,10
15424616,95,10,10
10136162,,,
7350876,90,10,9
4155983,99,10,10
17682872,100,10,10
10365512,,,
2665028,99,10,10
16083525,100,10,10
6924852,100,10,10
10807858,,,
3376895,95,10,10
7481897,,,
14948841,98,10,10
17590812,100,10,10
3385880,93,9,9
7596529,93,10,10
1223107,95,10,10
5007820,89,10,9
6433637,93,10,9
9857891,99,10,10
10660277,100,10,10
14969237,100,10,10
27028,94,10,10
8595828,100,9,10
10513695,,,
16352294,100,10,10
5253439,96,10,9
3434710,100,10,10
8481021,,,
9906403,,,
1468637,,,
14698527,90,10,9
14185529,93,10,9
11528376,,,
15509687,100,10,10
4436956,,,
9201794,99,10,10
1863106,95,10,9
17526405,,,
16601533,100,10,10
9345890,90,9,8
10251,95,10,10
10889290,,,
14673975,92,10,10
7546927,,,
10070039,97,10,10
15853561,100,10,10
187730,97,10,9
17590102,100,10,10
9119573,95,10,10
17329609,100,10,10
17464690,100,10,10
829185,99,10,10
943851,100,10,10
14125801,100,10,10
2188976,92,10,10
420160,96,10,9
7956829,96,10,10
1370425,95,10,9
2255169,93,9,8
9578797,100,10,10
3238142,92,10,9
3268637,93,9,9
7904207,80,10,10
15771352,80,8,9
5482173,,,
2188919,93,10,9
6973090,93,10,10
15296054,,,
501057,97,10,10
3073304,96,10,10
2601183,,,
7955738,92,9,9
7256961,92,10,9
7873804,93,9,9
8742154,96,10,9
2319598,91,9,9
3105998,98,10,10
7578824,,,
7565515,100,10,10
5007321,97,10,10
9480122,99,10,10
6924208,95,10,9
7940010,100,10,10
9242110,95,10,10
386966,97,10,9
17639292,100,10,10
625935,98,10,10
802839,100,10,10
5858486,100,10,10
10767017,98,10,10
1112462,100,10,10
11674758,94,10,10
648308,88,9,8
10232789,100,10,10
14181323,90,10,10
17015758,,,
10773437,,,
12624810,85,10,8
5628824,100,10,10
1471146,98,10,10
7309656,97,10,10
5196399,97,10,9
5989890,,,
4777415,100,10,10
10708414,100,10,10
3139003,,,
9545064,95,10,10
2198399,94,10,10
779109,95,10,10
5038958,,,
9921369,86,9,7
6234975,,,
5202735,99,10,10
2182851,94,10,10
4661955,97,10,9
10074911,80,8,8
9593505,98,10,10
8135338,,,
6359673,,,
16812656,98,10,10
16310932,100,10,10
17097361,90,10,10
7004802,96,10,10
2613882,,,
12952172,86,9,10
10969673,100,10,10
16737908,,,
6481492,93,9,9
8114515,100,10,10
10528294,99,10,10
3384413,95,10,10
905399,97,10,10
1877071,80,8,10
17476444,,,
17736082,100,10,10
8594468,97,10,9
9471413,100,10,10
8167990,92,10,9
10297903,98,10,10
8577678,,,
10981467,,,
991765,97,10,10
14981892,80,8,8
15328485,90,10,10
8833630,90,9,10
1499630,98,10,10
1970257,98,10,10
487499,96,10,10
3377847,94,10,6
41399,96,10,10
13636515,,,
16900525,100,10,10
680288,97,10,9
11939561,98,10,10
57676,95,10,9
1859925,96,9,9
10494263,,,
100710,100,10,10
41743,83,,
10989476,,,
10972053,100,10,10
13714899,99,10,10
664315,100,9,9
12575461,95,10,10
4236013,,,
2236694,98,10,10
778520,94,9,10
1062497,98,10,9
16467328,89,9,9
15409400,100,10,10
9281778,100,10,10
1695983,100,6,10
2629833,95,10,10
2927781,99,10,10
1417398,96,10,10
16518555,,,
3073393,92,9,9
6119683,98,10,10
14165362,97,10,9
9028989,80,10,8
7823524,,,
16101403,87,9,9
4825217,98,10,10
7054695,,,
286816,94,10,9
8052840,,,
8459807,77,8,8
2023510,93,9,7
663623,97,9,9
10994515,,,
16119981,,,
10789325,,,
16846851,,,
6365190,96,9,10
298368,98,9,9
1269738,94,10,10
13885405,94,10,9
9592800,100,10,10
8703369,98,10,10
5152716,,,
16256385,94,9,10
499096,95,10,10
10001830,,,
11115880,99,10,10
5299538,93,10,9
138592,98,10,10
8228206,96,10,10
13830188,100,10,10
1301798,92,9,9
13327656,96,10,10
5299461,97,10,9
17510273,100,10,10
13797041,100,10,10
7712636,100,10,10
10771685,100,10,10
15342819,,,
15852721,85,9,9
23540,96,9,10
774323,97,10,9
9219917,96,10,9
1931763,91,9,9
9903046,100,10,10
5446565,92,9,10
7342996,100,10,10
548765,95,9,10
14994786,70,7,6
6348721,85,9,8
2783899,94,10,9
14292435,98,10,10
10280573,98,10,10
11624048,100,10,10
2188561,92,10,9
351821,95,10,9
15867485,90,10,10
11352921,99,10,10
810552,96,10,9
14671407,70,7,6
15523355,,,
16014861,,,
10735339,84,10,8
9559555,,,
11067041,100,10,10
14571205,87,9,8
1154506,87,9,9
12115392,83,9,8
1511076,99,10,10
8805264,96,10,10
6413206,,,
1216322,,,
4748287,96,9,9
1203062,100,10,10
4199015,96,10,9
1333047,98,10,10
39753,99,10,10
2513724,93,9,8
6495015,95,10,9
10722086,,,
4987668,100,10,10
17654515,90,10,10
15424260,97,10,10
4588670,95,10,9
11947606,,,
11852529,80,10,10
760539,89,9,8
7008961,70,4,4
17475362,,,
5085892,,,
15134688,,,
13588571,92,10,10
3073320,96,10,10
3667551,94,10,10
9494210,98,10,10
14180032,100,10,10
7151287,96,10,10
14808517,80,10,10
859310,95,10,10
909063,99,10,10
115903,96,10,10
6823057,,,
15522956,,,
13884539,100,10,9
12311665,96,10,10
3687608,98,10,10
16571490,,,
9924449,92,10,10
10769149,,,
400433,100,10,10
5413930,93,10,9
1163946,90,10,9
7805578,100,10,10
7808104,100,10,10
5806694,90,10,9
14551535,100,10,10
662082,96,10,10
2611820,94,10,9
10473103,,,
1620279,97,10,10
11303760,98,10,10
4446003,88,10,9
15423790,92,9,10
8312602,100,10,10
7823062,93,10,9
3727061,97,10,10
3940055,85,9,8
13950667,100,10,10
384689,96,10,10
560440,100,10,10
9350779,100,10,10
10000073,95,10,10
13625546,98,10,10
9843279,100,10,10
8869579,100,10,10
4527553,97,10,10
2856374,87,9,8
6886839,100,10,10
14570892,100,10,10
16322671,99,10,10
15471316,90,10,10
8099186,100,10,10
2193638,91,10,10
1737616,100,10,10
8541515,88,9,8
6357895,95,10,10
14341440,99,10,10
134978,87,8,8
3594786,98,10,10
9918897,100,10,8
14948905,100,10,10
1890853,97,10,10
4616040,97,9,10
13585679,99,10,10
1232133,100,10,10
9130888,100,10,10
2628017,100,10,10
3791261,,,
6052238,100,10,10
14655185,96,10,10
11442567,,,
13031795,95,10,10
16406893,100,10,10
6199643,,,
3250486,98,10,10
14342450,95,10,10
8734202,93,10,9
14965025,100,10,10
7264532,93,9,10
1944564,99,10,10
350479,99,10,10
16013400,100,10,10
16603222,100,10,10
10836048,,,
48471,94,10,10
8291604,,,
38935,99,10,10
17045534,100,10,10
744901,93,10,10
8591360,100,10,10
15284087,100,10,10
10852302,,,
8017820,,,
2782602,93,9,9
317951,91,9,10
16630708,,,
185630,,,
4652758,,,
9590030,,,
16323837,,,
11752686,94,10,9
4525604,99,10,10
17879764,,,
3534282,97,10,9
13882044,,,
5903014,95,10,10
664307,91,9,9
8114865,,,
1807012,100,10,10
3199646,,,
8866344,100,10,10
10900077,96,10,10
6836785,91,10,10
8817182,100,10,10
1863316,90,9,8
16898265,93,9,10
5019863,95,10,9
11016379,99,10,10
4485844,95,10,10
13686891,94,10,10
7985260,60,8,7
3971357,80,6,10
15521441,100,10,10
9918068,98,10,10
726657,93,10,10
4494959,87,10,10
8739,98,10,10
13801046,,,
14027256,97,10,10
985261,91,9,8
15394942,96,10,9
693721,99,10,10
14406178,100,10,10
13764783,99,10,9
17696946,100,10,10
15734872,100,10,10
6261031,95,10,10
3499371,,,
17590024,100,10,10
5591544,97,10,9
15634918,100,10,10
8458724,,,
15954036,93,9,9
1774026,95,9,9
11496841,87,9,9
17071754,100,10,10
16208102,100,10,10
12964066,97,10,10
8327375,93,10,9
10638522,100,10,9
562311,97,10,10
10523811,100,10,10
8868880,89,9,9
12159120,97,10,10
11228293,94,10,9
2704229,96,10,9
5617847,98,10,10
9773223,,,
3344631,90,9,9
10835029,,,
2823227,96,10,10
2020393,96,10,10
1152027,89,9,9
6378495,93,9,9
3311711,97,10,10
7345170,100,10,10
10766464,,,
17159165,96,10,10
185289,86,9,8
1053666,96,10,10
13577647,,,
1840105,100,10,10
5821380,98,10,10
10393304,,,
10930447,,,
16245090,100,10,10
1005642,97,10,10
4393014,93,9,10
1692470,98,10,10
15553383,100,10,10
6361956,90,10,9
7328359,96,10,10
1659736,100,10,10
12571474,85,10,8
4559621,86,9,9
8557304,94,10,10
15176444,80,10,10
817279,88,10,10
10882515,,,
14656080,96,10,10
7933407,96,10,10
9590125,88,9,9
1937575,91,9,9
9130137,99,10,10
13815224,97,10,10
14520477,94,10,10
12603543,,,
11276421,93,9,10
16241240,100,10,10
10832099,96,10,10
102507,92,9,9
6604799,98,10,10
8506292,99,10,10
4803510,,,
10945354,98,10,10
8504147,,,
4571468,98,10,10
6324586,100,10,10
14500176,,,
4637003,,,
12156984,100,10,10
13156409,100,,
4603953,100,10,10
10207235,92,9,10
17237462,100,10,10
14732134,100,10,10
4605016,100,10,10
3269061,95,10,9
16202617,100,10,10
3946571,97,10,10
17368095,,,
10814493,,,
12094295,97,10,10
1246203,,,
9759826,100,10,6
14305759,85,8,7
12056314,100,10,10
1961036,98,10,10
16910795,,,
8030646,98,10,10
13732274,87,10,9
330736,99,10,10
8308630,96,10,9
16631708,100,10,10
17641455,100,10,10
12954602,97,10,10
14571155,,,
4392795,92,10,9
16975728,,,
7259985,100,10,10
5834571,100,10,10
16417071,,,
2115333,100,10,10
7915270,,,
6987656,94,9,9
17024714,100,10,10
4588499,96,10,10
10437583,93,10,9
14074818,100,10,10
11067551,100,10,10
5850037,99,10,10
12856903,93,10,9
8633953,87,9,8
13734563,80,10,8
8799100,98,10,10
12255334,100,10,10
6914642,90,9,10
4342334,100,10,10
229912,100,10,10
17669758,100,10,10
17695233,,,
6987855,94,10,10
10946978,100,10,10
16333539,100,10,10
15665568,100,10,10
15648718,100,10,10
11225011,97,10,10
17483208,100,10,10
5969483,95,9,9
4277696,100,9,10
8701367,100,10,9
6915497,97,10,10
6784423,90,9,8
14075285,88,9,9
5604765,100,10,10
1584021,98,10,10
3753360,,,
88172,,,
3081560,100,10,10
4637928,,,
13841956,80,9,7
7914711,,,
9197404,99,10,10
10699980,91,9,9
7931074,100,10,10
14717511,100,10,10
804015,95,10,10
8066789,100,10,10
16368800,,,
15860884,98,10,10
11378889,100,10,10
6504905,,,
15073660,93,9,10
2277754,98,10,10
3801487,87,9,7
14670800,97,10,10
9196933,100,10,10
4014128,100,10,10
5849371,,,
4423944,92,9,9
3883252,94,10,10
8241372,93,9,9
13772817,87,9,9
13550396,100,10,8
647303,100,10,10
13264569,97,10,10
99094,97,10,10
9953407,87,10,9
377569,89,9,9
7439070,,,
10912441,95,10,10
1655446,94,10,10
279184,100,10,9
10945139,100,10,10
12796052,,,
16220303,100,10,10
17285258,94,10,10
4767863,98,10,9
10911819,,,
9188704,,,
7074753,100,10,10
5785631,,,
13497122,100,10,10
16675371,100,10,10
2126868,91,9,9
14774613,,,
7581918,94,10,10
14168466,95,9,9
8351923,99,10,10
4305042,98,10,10
8325147,,,
10023678,100,10,10
1110746,,,
6954440,,,
4873669,95,10,10
7615490,97,10,10
1641060,95,10,9
16132666,100,10,10
2538807,95,10,9
9346930,92,10,9
6405183,100,10,10
11942275,100,10,9
12957659,,,
15207940,97,10,10
5616609,98,10,10
719431,96,10,9
8047016,94,10,9
17709514,,,
7937782,,,
10860474,,,
10729215,99,10,10
1785463,90,9,9
14726839,92,9,9
4897503,93,10,9
2374267,100,9,10
14841442,96,10,10
767506,97,10,10
1261122,94,10,10
15005046,98,10,10
15208293,100,10,10
10881844,100,10,10
7930461,95,10,10
7196412,93,10,10
17434665,,,
3992022,93,10,10
280549,92,9,9
16254937,100,10,10
16336533,,,
1198464,88,9,9
12971987,100,10,10
1322804,100,10,10
17346342,100,10,10
273960,96,10,10
10965575,,,
10333567,95,10,9
1170626,93,10,9
1421937,98,10,10
1125079,86,9,9
15166182,96,10,10
9841389,,,
15051965,99,10,10
15985008,95,10,10
4565098,99,10,10
109883,93,9,9
6678367,,,
10839872,90,10,10
5144482,99,10,10
2387068,95,10,10
10992918,,,
16393542,100,10,10
16393434,,,
4105694,93,10,10
16393684,100,10,10
14869325,100,10,9
6716200,,,
10713869,,,
2139562,90,9,9
15720967,,,
3757993,96,10,10
9707636,,,
676228,93,10,10
13927587,95,10,10
5037937,98,10,10
2154122,98,9,10
14884457,93,10,10
16480847,98,10,10
4709844,80,10,10
9953024,,,
13507714,,,
15636322,98,10,10
4429527,95,10,10
4607282,94,9,9
4752055,98,10,10
14631715,100,10,10
1392204,97,10,10
11605954,96,10,10
17979286,,,
2413882,88,9,10
8656152,,,
13357698,100,10,10
4855194,91,9,8
2739803,99,10,10
10928499,100,10,10
13226293,93,9,10
4576416,98,10,10
3441517,99,10,10
13961327,100,10,10
5359665,100,10,10
16339118,89,9,9
10520808,,,
17317905,,,
9880668,100,10,10
15107844,90,10,9
12042796,100,10,10
5784765,,,
49559,97,10,9
164207,96,10,9
16842938,,,
7783204,,,
14773919,100,10,10
9093821,95,10,9
11023703,94,10,10
6423158,98,10,10
16020972,,,
1941534,100,10,10
7583060,,,
11531128,94,10,9
12203536,69,9,7
11186588,88,9,9
10809774,100,10,10
3158614,,,
256176,96,10,10
10810544,96,10,10
13047629,,,
13319043,92,10,10
10968474,93,10,9
1847664,95,9,10
1126710,97,10,10
13677990,77,8,8
8597777,,,
4948340,89,9,8
2012414,93,10,9
9255908,95,10,10
4226785,95,9,10
2326228,93,9,9
7370012,96,10,10
4699464,,,
13719341,100,10,10
14057062,100,10,10
3792754,97,10,10
11140705,93,10,9
1277771,94,9,9
16219958,96,9,10
114006,100,10,10
8576907,100,10,10
16792748,,,
14051865,95,10,10
7699550,,,
13265419,100,10,8
178532,96,10,9
14317890,,,
3586296,96,10,10
8781352,100,10,10
15776584,90,9,10
10860614,,,
11778093,,,
13585591,,,
424846,99,10,10
3013520,86,9,9
6224858,96,10,10
178740,98,10,10
13728328,100,10,10
909052,100,10,10
12794288,96,10,10
12973981,,,
13399004,80,10,10
18003730,,,
16725722,92,10,9
4077186,93,10,10
10686651,,,
13186688,100,10,10
4258545,98,10,10
9587361,91,9,9
11987072,94,10,10
10998711,,,
2209324,95,10,10
7452112,98,10,10
17380787,,,
234394,99,10,10
17347979,100,10,10
12203384,83,9,8
440179,97,10,10
12253994,82,9,7
9073978,86,9,8
12203307,87,10,8
14913657,100,10,10
10227655,100,10,10
10940860,100,10,10
10830317,100,10,10
7939407,,,
10996605,,,
13080090,98,10,10
13095330,90,10,8
17109374,100,10,10
889175,94,9,10
11208901,100,10,10
13315189,96,10,10
13563865,85,9,9
8212224,83,10,9
12831488,100,10,10
15056192,98,10,10
9263004,,,
5506592,99,10,10
11374678,,,
11948102,90,9,8
2349816,98,10,9
720811,95,10,10
214696,,,
4372075,,,
17909371,,,
12203625,,,
4956697,89,9,9
15256528,96,10,10
16778843,100,10,10
12437037,92,9,10
134193,94,10,9
2657328,93,9,10
14774391,,,
5861266,98,10,10
17778664,,,
5697110,87,10,10
945748,,,
15856221,100,10,10
10885761,,,
6572428,,,
4025721,87,9,7
11414548,100,10,10
16428049,,,
10364499,99,10,10
13709951,93,9,9
2387702,96,10,9
8777405,97,10,10
11284170,,,
17210790,,,
15072528,100,10,10
2455325,96,10,10
8956815,100,10,10
7009791,98,10,10
15602145,100,10,10
6269649,94,9,9
15312760,,,
699662,95,10,9
1542007,,,
1043127,,,
6957711,90,10,10
17222629,100,10,10
12069391,100,10,10
15722690,100,10,9
10905721,95,10,9
13788970,60,7,6
13149975,100,10,10
17721104,,,
7759598,100,10,10
2123469,96,10,10
3262842,91,9,9
9315872,93,9,10
17824712,100,10,10
13395595,90,10,10
10282315,,,
410762,100,10,9
13264163,93,10,9
17540307,,,
10430433,,,
7841744,93,10,9
4842662,,,
1762444,,,
17558227,80,10,10
3728917,100,10,10
10806778,85,9,9
13362637,95,9,10
8815041,40,4,2
17499253,,,
9347891,99,10,10
2203283,95,10,10
17718199,,,
10658305,,,
15327674,98,10,10
11049716,,,
14049707,90,10,9
66119,84,9,9
17625640,100,9,10
4170452,100,10,10
173464,97,10,10
11265368,97,10,10
12853235,100,10,10
561148,96,10,10
16621529,,,
4360006,97,10,10
17603822,100,10,10
9298491,93,9,9
2350088,97,10,10
138221,97,10,9
2710492,95,9,9
3969494,96,10,9
13328265,87,9,10
614278,100,9,10
14153586,90,10,9
14963473,100,10,10
2467408,,,
7726184,95,10,10
4316724,85,9,8
875287,91,9,9
13671296,85,9,7
1530721,91,9,9
10754525,,,
12917510,100,10,10
4334896,92,10,10
1072791,98,10,10
9313952,94,9,10
5561522,99,10,10
6260599,100,10,10
11950735,,,
16490313,94,10,10
10458942,,,
4216611,96,10,10
3939142,,,
8719998,79,8,9
2119401,90,8,9
15275345,,,
7149792,100,10,10
2677273,96,10,10
10156462,,,
10379822,,,
8850711,100,10,10
522115,95,9,8
6558552,98,10,10
4738275,100,10,10
12886566,,,
8132903,100,10,10
11229474,100,10,10
3463244,100,9,9
10753958,,,
5194736,87,9,9
4576487,84,9,9
4903635,87,9,8
14886240,95,10,9
16454328,93,10,9
17404775,,,
3820089,96,9,9
2112118,96,10,10
13899875,97,10,10
11418326,98,10,10
3852803,98,10,10
7807401,,,
10589671,,,
10929061,100,10,10
9809959,96,10,10
10637596,,,
17993956,,,
1830541,97,10,10
4948327,90,9,8
6884859,100,10,10
8996945,98,10,10
964751,95,10,9
11277106,80,9,9
15110958,100,10,10
13734663,,,
2496641,90,8,8
7344289,96,10,10
7632594,,,
17436490,100,10,10
7884952,97,10,10
17796048,,,
2670951,96,10,10
2310518,87,10,9
9945149,86,9,9
10829828,98,10,10
13300908,100,10,10
13239272,100,10,10
15927761,100,10,10
10996174,,,
2049955,98,10,10
13298655,100,10,10
17348224,60,8,2
16518099,100,10,10
16182225,100,10,10
9887879,,,
1460628,87,9,9
16933274,97,10,10
8717641,99,10,10
11044110,,,
13911251,87,9,9
12175415,99,10,10
528585,99,10,10
14255278,100,10,10
6587558,100,10,10
9028771,85,9,8
1122374,91,10,9
15384959,100,9,9
17301795,100,10,10
16515340,,,
6799615,100,10,10
10273567,98,10,10
1016604,94,10,9
1344243,89,9,10
6275722,97,10,10
13828725,100,6,8
1179778,95,10,10
934012,95,10,9
13893720,80,8,6
1360756,96,10,10
8569761,100,10,10
11325619,,,
8924372,,,
3115736,95,9,9
7086742,,,
7346955,,,
5873066,,,
1235442,,,
3522033,,,
10728933,,,
3290739,96,10,10
1291092,100,10,10
16166074,100,10,10
11399964,90,9,10
10678838,,,
881105,92,10,10
13939132,95,10,10
357551,99,10,10
10613946,,,
15132855,100,10,10
1324086,96,10,10
504146,96,9,10
3830083,89,9,9
8646903,99,10,10
16042019,,,
6467787,100,10,10
9302200,,,
6107258,87,9,9
15971076,96,10,10
8598197,100,10,10
4059549,89,9,9
14253838,93,10,10
1015558,100,10,10
15974117,90,9,8
10907472,,,
6438568,,,
769637,,,
10829227,100,10,10
1506702,97,10,10
2503304,98,10,10
16859066,100,10,10
7700393,89,9,9
10731420,,,
1264260,93,10,9
3718513,100,10,10
3489100,100,10,10
4721183,93,9,10
13736208,100,10,10
8389670,100,10,10
13344490,,,
10075227,100,10,10
1015336,95,10,9
1151109,100,10,10
4242823,92,10,10
16888446,100,10,10
7436608,92,10,8
14745307,,,
17366309,,,
5979389,93,9,10
2685168,90,9,8
10733321,96,10,9
16971989,100,10,10
4110344,91,9,9
3782636,100,10,8
10860523,,,
2151015,97,10,8
8304582,100,10,10
2603930,,,
14806640,89,9,9
15301486,100,10,10
9075545,100,10,10
14793549,92,10,9
1817061,100,10,10
15251932,98,10,10
1832862,97,10,9
2553722,94,10,10
1013482,90,9,9
2072177,89,9,9
2209422,96,10,9
10987974,100,10,10
3519611,96,10,10
4078302,92,9,8
2587299,,,
6092935,100,10,10
4892016,92,9,9
3563321,97,10,9
15824294,95,10,10
334886,97,10,10
1096497,89,10,10
10948584,,,
10406816,,,
134015,97,9,9
1363817,100,10,10
17556152,,,
15649595,100,10,8
11620718,93,9,9
4968197,,,
10765183,96,10,10
13897470,,,
3962831,89,9,9
10882774,,,
16944805,,,
14731296,97,10,10
13245558,94,9,10
726620,,,
14930008,96,9,10
16242691,60,7,8
4188409,80,8,7
16633430,97,9,10
5298102,100,10,10
8916505,,,
4097700,,,
4654737,93,10,10
8472083,99,10,10
13239943,94,10,10
7547105,96,10,10
5572169,97,10,10
5631995,99,10,10
624195,99,10,10
16369217,,,
7638083,80,10,10
8101297,96,10,9
7696512,100,10,10
4370547,90,10,8
15037276,89,10,9
1241029,98,10,10
8187662,94,9,10
10038862,96,10,10
4632133,91,9,10
10546734,99,10,10
17720769,,,
3890437,99,10,10
11316711,100,10,10
1615260,97,10,9
1142127,96,10,10
9491069,100,10,10
8482537,100,10,10
8054733,98,10,10
13512384,100,10,10
9596600,80,9,9
7968301,93,10,9
7826323,95,10,10
3615642,,,
10742618,,,
699195,99,10,10
11643674,84,9,7
8170245,,,
13346701,95,10,10
4631873,88,9,9
16631564,,,
8088445,100,10,10
16542558,100,10,9
12855674,91,9,10
17450796,,,
1566931,99,10,10
2189514,97,10,10
3836021,97,10,10
2254961,,,
7514189,100,10,10
4040760,100,10,10
7689528,85,9,8
911156,100,10,10
15509213,91,9,8
4958513,100,10,10
10898138,,,
7349913,93,10,10
10883260,,,
7562547,100,10,10
681521,97,10,9
15115501,100,10,10
3029597,95,10,10
9791385,,,
7840921,100,10,10
1001422,83,9,8
746376,97,10,10
17736586,,,
189894,96,10,9
3925424,,,
1598886,100,10,10
14427529,97,10,10
14591332,96,10,10
10226935,100,10,9
6476983,,,
582335,100,10,10
10052252,97,10,10
16038601,100,10,10
3843664,99,10,10
2050412,,,
14852542,100,10,10
13623709,80,8,6
4022990,91,9,9
2433743,,,
326357,98,10,10
10576099,100,10,10
5804060,89,9,9
10756223,,,
1515618,95,10,9
7921739,100,10,10
450551,94,9,9
13709214,99,10,10
1072287,94,10,10
17587530,,,
3939634,88,9,9
9542976,100,10,10
10837271,,,
12094826,91,9,10
17190249,96,10,10
14813516,100,10,10
17569680,100,8,8
285637,100,10,10
5250986,100,10,10
12148621,98,10,10
9314178,,,
2645858,,,
10886993,,,
14179987,95,9,10
12607119,100,10,10
581216,95,9,10
7003729,100,10,10
1482273,98,10,10
5413614,95,9,10
16964263,,,
4710201,,,
200663,97,10,10
10788537,,,
10755267,,,
7953529,88,10,9
11770992,100,10,10
13032072,,,
678525,98,10,10
3775090,94,10,9
13659922,,,
8410965,77,8,7
13670210,95,10,10
14568764,100,10,10
958188,,,
3560837,100,10,8
13233726,90,9,8
2659694,86,8,7
14655353,100,10,10
6571877,,,
9973481,100,10,10
5192066,,,
13998161,,,
7870535,95,10,10
6051847,,,
6412221,100,10,10
14997426,100,10,10
14710157,,,
10996261,,,
13113457,100,10,10
808585,98,9,10
2856542,80,9,7
14931519,97,10,10
16276576,,,
13979723,95,10,10
2134475,98,10,10
10949114,,,
13635915,100,10,8
6169292,82,8,9
11556039,100,10,10
12784778,67,8,7
2233416,99,10,10
2298930,97,10,10
758815,92,9,10
6016017,99,10,10
12011629,96,10,9
6506593,90,9,9
562083,98,10,9
1364882,100,10,10
3475515,87,9,8
5703943,94,10,10
4363132,98,10,10
13814017,,,
16029833,95,9,10
6783349,91,10,9
2361250,100,10,10
13895473,98,10,10
3737368,93,10,7
4359078,91,9,9
7479448,92,10,10
1836986,92,9,10
13158331,100,10,10
11534385,97,10,10
13828338,80,7,10
443710,80,8,6
15942879,100,10,10
9110718,97,10,10
7111861,100,9,10
148627,85,9,9
8847801,80,9,10
1212822,92,10,10
2670842,92,10,9
2326775,95,10,10
5193765,96,10,10
8631677,97,10,9
10879152,,,
2802480,94,10,10
14353059,100,10,10
4838843,99,10,10
1174214,97,10,10
1048721,94,10,9
8388709,100,10,10
15728742,95,10,9
12845136,100,10,10
11573148,90,8,10
14710249,86,9,9
14725998,96,10,10
8614503,90,10,10
9029725,,,
17445405,100,10,10
8195358,93,10,9
9023988,,,
10998637,,,
110825,93,10,9
17592480,100,10,10
7323097,60,9,9
14647486,100,10,10
8404771,,,
10492295,,,
2801140,93,10,10
16055807,100,10,10
4653022,97,9,9
11659923,80,9,8
950094,98,10,9
11025483,,,
8763676,86,9,9
10369307,95,10,9
2521327,85,9,9
10943013,86,9,9
719335,89,9,9
