latitude,longitude,host_response_rate,host_identity_verified,price
37.75752397,-122.4146837,100%,t,$300.00 
37.75861652,-122.423829,0%,t,$450.00 
37.76934355,-122.4228242,90%,t,$199.00 
37.74911936,-122.4223903,N/A,t,$110.00 
37.75282381,-122.4130389,100%,f,$165.00 
37.75852755,-122.4238706,100%,f,$100.00 
37.76431325,-122.4156947,N/A,f,$190.00 
37.75471988,-122.4103397,100%,t,$350.00 
37.75667816,-122.4147033,96%,t,$33.00 
37.75557545,-122.4247407,100%,t,$780.00 
37.75659849,-122.414179,90%,t,$305.00 
37.75295529,-122.4038429,100%,t,$95.00 
37.76907821,-122.4203199,100%,t,$89.00 
37.7672784,-122.4223073,46%,t,$109.00 
37.75852594,-122.4133371,96%,t,$55.00 
37.7671807,-122.4204302,100%,t,$135.00 
37.75573674,-122.4108047,100%,t,$360.00 
37.75339878,-122.4173487,N/A,f,$150.00 
37.7593975,-122.4177266,80%,f,$100.00 
37.7623415,-122.4152495,N/A,t,$400.00 
37.76082204,-122.4191647,100%,t,$24.00 
37.75065033,-122.4198382,100%,t,$225.00 
37.76022146,-122.425508,100%,t,$140.00 
37.76662828,-122.4178155,N/A,t,$128.00 
37.76118152,-122.4191111,94%,t,$150.00 
37.75080904,-122.4163747,100%,t,$599.00 
37.76999787,-122.4198414,100%,f,$180.00 
37.75122573,-122.4236679,100%,t,$210.00 
37.75524895,-122.4099138,100%,t,$315.00 
37.75442005,-122.4099231,N/A,t,$89.00 
37.75192598,-122.4217791,100%,t,$60.00 
37.75905882,-122.4218547,N/A,t,$200.00 
37.76134648,-122.4207622,50%,t,$115.00 
37.75111378,-122.4133564,100%,t,$175.00 
37.76668745,-122.4211264,100%,t,$206.00 
37.76120327,-122.4073464,N/A,t,$449.00 
37.75869748,-122.4110783,90%,t,$272.00 
37.76145652,-122.4204264,N/A,t,$150.00 
37.76099617,-122.4217991,100%,t,$245.00 
37.75913995,-122.4100002,100%,f,$89.00 
37.77005855,-122.4231424,N/A,t,$75.00 
37.75917544,-122.4082493,100%,t,$58.00 
37.76764592,-122.4196852,80%,t,$200.00 
37.76622617,-122.4193958,43%,f,$120.00 
37.75604803,-122.4153785,N/A,t,$45.00 
37.76221383,-122.4203222,N/A,t,$125.00 
37.75006196,-122.407914,100%,t,$85.00 
37.76670376,-122.4182613,96%,t,$60.00 
37.75675319,-122.4246655,100%,f,$90.00 
37.76346479,-122.4250033,100%,t,$145.00 
37.75893796,-122.419015,90%,t,$170.00 
37.75808118,-122.4223412,N/A,f,$275.00 
37.75432765,-122.4101774,N/A,t,$190.00 
37.7565266,-122.409218,100%,t,$65.00 
37.75598698,-122.4221984,100%,t,$225.00 
37.76056915,-122.424051,100%,t,$195.00 
37.74993523,-122.4145209,100%,t,$119.00 
37.75546755,-122.4077818,N/A,t,$399.00 
37.76588669,-122.4159867,100%,t,$95.00 
37.75971732,-122.4216425,100%,t,$210.00 
37.76392905,-122.4188655,N/A,t,$400.00 
37.76034674,-122.4194064,100%,t,$110.00 
37.75765004,-122.4135393,100%,t,$69.00 
37.75446165,-122.4240245,95%,t,$85.00 
37.74996773,-122.4188683,100%,t,$230.00 
37.75993508,-122.4205575,N/A,t,$85.00 
37.74970938,-122.4206154,N/A,t,$120.00 
37.76753421,-122.4218769,100%,t,$89.00 
37.76926225,-122.4239934,N/A,f,$200.00 
37.76200076,-122.4222852,90%,f,$60.00 
37.75145428,-122.4190148,N/A,f,$80.00 
37.76438703,-122.4110645,0%,f,$175.00 
37.76082631,-122.4201035,N/A,t,$250.00 
37.76229236,-122.4209399,100%,f,$125.00 
37.76255532,-122.4216806,100%,t,$129.00 
37.76895856,-122.4247186,100%,t,$289.00 
37.75338652,-122.4220808,100%,f,$180.00 
37.75109863,-122.421503,N/A,t,$300.00 
37.76140315,-122.416887,N/A,t,$200.00 
37.75696702,-122.420192,50%,t,$135.00 
37.76605143,-122.4206619,100%,t,$80.00 
37.76172137,-122.4230352,100%,t,$90.00 
37.75740037,-122.4208898,N/A,t,$100.00 
37.75498966,-122.4073403,100%,t,$79.00 
37.76455296,-122.4079509,100%,t,$95.00 
37.75593645,-122.4097483,100%,t,$499.00 
37.75117506,-122.412172,100%,t,$185.00 
37.75818211,-122.4071974,100%,t,$575.00 
37.75584484,-122.4087695,100%,t,$165.00 
37.76789206,-122.4175331,N/A,t,"$1,500.00 "
37.76015982,-122.4226466,75%,t,$285.00 
37.7651071,-122.4220663,100%,t,$214.00 
37.76201503,-122.4186318,N/A,t,$150.00 
37.75673561,-122.4110877,100%,t,$295.00 
37.76191229,-122.4234471,100%,f,$202.00 
37.75413193,-122.4090766,N/A,t,$70.00 
37.75395025,-122.4150456,100%,f,$95.00 
37.75183432,-122.4182426,N/A,t,$140.00 
37.75931575,-122.4212085,100%,t,$220.00 
37.75002252,-122.414301,N/A,t,$690.00 
37.74976068,-122.4101228,N/A,t,$300.00 
37.76222156,-122.4164928,100%,f,$100.00 
37.75488841,-122.4102091,100%,f,$115.00 
37.75426968,-122.4249502,95%,t,$84.00 
37.75541585,-122.4181277,N/A,t,$150.00 
37.75686656,-122.4162402,100%,t,$285.00 
37.75510678,-122.4151479,100%,t,$425.00 
37.7538535,-122.4122535,N/A,t,"$1,200.00 "
37.74850779,-122.4196191,N/A,t,$350.00 
37.75638877,-122.4151231,100%,t,$169.00 
37.76050137,-122.4231686,100%,t,$195.00 
37.76143174,-122.4206759,N/A,t,$95.00 
37.76470293,-122.4221973,100%,t,$149.00 
37.75564467,-122.4114185,100%,f,$172.00 
37.76676462,-122.4192121,85%,t,$190.00 
37.77087775,-122.4234898,N/A,t,$100.00 
37.75418875,-122.4158975,80%,t,$290.00 
37.76974154,-122.4238344,100%,t,$100.00 
37.75569547,-122.4144864,N/A,t,$249.00 
37.76478009,-122.4068027,100%,t,$95.00 
37.75147569,-122.4091767,93%,t,$75.00 
37.75899436,-122.4075427,100%,t,$80.00 
37.75504556,-122.4252385,N/A,f,"$1,400.00 "
37.76537968,-122.4145571,100%,t,$195.00 
37.76466538,-122.4247075,N/A,t,$120.00 
37.7564906,-122.4144543,N/A,t,$90.00 
37.75546545,-122.4089539,100%,t,$175.00 
37.75270431,-122.411517,100%,t,$210.00 
37.76276674,-122.4238285,N/A,t,$130.00 
37.75932619,-122.4190707,100%,t,$200.00 
37.75221477,-122.4071722,N/A,f,$69.00 
37.75805135,-122.4225549,100%,t,$450.00 
37.76157687,-122.422928,N/A,t,$160.00 
37.75900265,-122.4213177,100%,t,$135.00 
37.75321807,-122.4138641,100%,t,$160.00 
37.75979938,-122.4203013,100%,t,$250.00 
37.75727525,-122.4084888,100%,t,$95.00 
37.75947969,-122.4193283,N/A,t,$200.00 
37.75827812,-122.4094131,N/A,t,$90.00 
37.76986546,-122.4255317,100%,t,$350.00 
37.76495306,-122.4228439,94%,t,$110.00 
37.76515227,-122.4058378,99%,t,$125.00 
37.75834501,-122.4117471,100%,t,$215.00 
37.76354058,-122.4251715,100%,t,$110.00 
37.7631106,-122.4205266,N/A,t,$462.00 
37.76448974,-122.4245924,100%,t,$122.00 
37.75488403,-122.4076996,100%,t,$147.00 
37.76805409,-122.4215238,100%,t,$150.00 
37.76589579,-122.4233179,100%,t,$109.00 
37.76094677,-122.4087226,100%,t,$120.00 
37.76428759,-122.4127554,90%,t,$169.00 
37.75710636,-122.409627,100%,t,$70.00 
37.74912718,-122.4157362,N/A,t,$52.00 
37.75335937,-122.4170714,100%,f,$175.00 
37.75742612,-122.4094099,N/A,f,$500.00 
37.75541523,-122.4070269,N/A,t,$107.00 
37.75808837,-122.4094916,N/A,t,$90.00 
37.74913223,-122.4193964,100%,t,$145.00 
37.76529085,-122.4237807,46%,t,$72.00 
37.75817087,-122.4254617,60%,f,$350.00 
37.75381651,-122.4146223,N/A,t,$140.00 
37.75175839,-122.4238845,100%,f,$800.00 
37.75838137,-122.4181447,N/A,f,"$1,666.00 "
37.75417568,-122.4117034,N/A,f,$75.00 
37.76103118,-122.4231313,100%,t,$129.00 
37.76670126,-122.4199205,N/A,t,$198.00 
37.76867992,-122.4240742,N/A,f,$80.00 
37.76080782,-122.4247257,N/A,t,$450.00 
37.75729488,-122.4252516,100%,t,$209.00 
37.74946384,-122.4102973,N/A,t,$125.00 
37.76613148,-122.420829,100%,t,$200.00 
37.75727662,-122.4209736,100%,f,$163.00 
37.75056813,-122.4104266,100%,t,$116.00 
37.76762598,-122.4232928,100%,f,$240.00 
37.7620613,-122.4220074,100%,t,$119.00 
37.75069844,-122.421571,N/A,t,$80.00 
37.74996737,-122.4124087,N/A,t,$89.00 
37.75291582,-122.4187473,100%,t,$93.00 
37.74964496,-122.4212794,N/A,f,$130.00 
37.75008135,-122.4184093,100%,t,$188.00 
37.77099289,-122.4241152,N/A,t,$115.00 
37.76796967,-122.4197506,85%,t,$200.00 
37.75992964,-122.4255916,N/A,t,$154.00 
37.75203195,-122.4225433,100%,t,$175.00 
37.7679192,-122.4201876,0%,t,$200.00 
37.76908911,-122.4217075,100%,t,$83.00 
37.75016336,-122.4118471,100%,f,$315.00 
37.75865034,-122.4252964,100%,t,$160.00 
37.75133595,-122.4218832,100%,t,$450.00 
37.7533923,-122.4136982,100%,t,$84.00 
37.75806252,-122.4079352,100%,f,$150.00 
37.76171459,-122.4220239,99%,t,$100.00 
37.75967255,-122.416277,0%,t,$110.00 
37.75940969,-122.408415,100%,t,$80.00 
37.76025311,-122.4071318,100%,t,$95.00 
37.76284331,-122.4244322,100%,t,$279.00 
37.75530262,-122.4203073,N/A,t,$76.00 
37.7591889,-122.4223669,100%,t,$149.00 
37.76361641,-122.4239265,N/A,t,$60.00 
37.75756184,-122.4073059,100%,t,$110.00 
37.76470375,-122.4217387,93%,t,$165.00 
